AssetId	Type	Name	CreatorType	CreatorName	CreatorId	OwnedByKit	Area	Notes
70457204831369	Image	icons8-command-48	User	hazatargz	8842050215	yes	Kit/Topbar	Command icon
70692404618828	Image	Texture	User	hazatargz	8842050215	yes	Kit/Ranks	Developer rank
71634976881165	Image	Texture	Group	NUWA STUDIO	10256610252	yes	Kit/Donation	Provider illustration
73049045961531	Image	shop2	User	hazatargz	8842050215	yes	Kit/Topbar	Shop
73598133071651	Image	icons8-microsoft-admin-48	User	hazatargz	8842050215	yes	Kit/Topbar	Admin
74687624322129	Audio	koiroylers-live-chat-353605	Group	NUWA STUDIO	10256610252	yes	Kit/SFX	Enter sound
76421319383025	Image	Texture	User	hazatargz	8842050215	yes	Kit/Settings	Graphics Low
78416657618448	Animation	bhangra boogie	User	inevercaredxx	2240621145	no	Kit/Cinematic	THIRD-PARTY — re-upload
79366863686652	Image	single	User	hazatargz	8842050215	yes	Kit/Settings	
79426970537296	Image	Texture	User	hazatargz	8842050215	yes	Kit/Branding	Default logo
82655670841185	Image	head	User	hazatargz	8842050215	yes	Kit/Settings	
84120496876687	Image	Texture	User	hazatargz	8842050215	yes	Kit/Donate	
84494880468556	Image	Texture	User	hazatargz	8842050215	yes	Kit/Config	
87108017514084	Image	Texture	User	hazatargz	8842050215	yes	Place/Board	Likes icon
87272651050606	Image	generic settings	User	hazatargz	8842050215	yes	Kit/Settings	
87479186690180	Image	full body	User	hazatargz	8842050215	yes	Kit/Settings	
94227935854947	Image	bubble chat	User	hazatargz	8842050215	yes	Kit/Settings	
947384308	Audio	Firework (Launch)	User	Wizzoblox02	103219254	no	Kit/Nuke	THIRD-PARTY — re-upload
94928591392266	Image	Texture	User	hazatargz	8842050215	yes	Kit/Settings	Graphics Med
96030964846916	Image	icons8-unpacking-96	User	hazatargz	8842050215	yes	Plugin	Plugin UI only
99143048206723	Image	nametag	User	hazatargz	8842050215	yes	Kit/Settings	
99832044843928	Image	icons8-upgrade-96	User	hazatargz	8842050215	yes	Plugin	Plugin UI only
101268994273611	Image	broadcast	Group	NUWA STUDIO	10256610252	yes	Kit/Topbar	Broadcast / music icon
101906294438076	Image	Images/caret	Group	HD Admin	934508079	no	Kit/TopbarPlus	THIRD-PARTY — re-upload
104368298266529	Image	Texture	User	hazatargz	8842050215	yes	Kit/Ranks	Admin rank
104572654745007	Image	torso	User	hazatargz	8842050215	yes	Kit/Settings	
105332257572128	Image	Texture	User	hazatargz	8842050215	yes	Kit/Settings	Graphics High
107629225021909	Image	Texture	User	hazatargz	8842050215	yes	Kit/Badges	
109703706311990	Image	icons8-cd-collection-96	User	hazatargz	8842050215	yes	Kit/Topbar	Music
109847084382411	Audio	Clicked	User	hazatargz	8842050215	yes	Kit/SFX	UI click
113174257336117	Image	Texture	User	hazatargz	8842050215	yes	Kit/Donation	
114074615085456	Image	heart2	User	hazatargz	8842050215	yes	Kit/Topbar	Couple
115696416196138	Image	Texture	User	hazatargz	8842050215	yes	Kit/Badges	
118196125326891	Image	Texture	User	hazatargz	8842050215	yes	Kit/Badges	
119219253317473	Image	gift2	User	hazatargz	8842050215	yes	Kit/Topbar	Gift
120181247918895	Image	Texture	User	hazatargz	8842050215	yes	Kit/Badges	
12187365364	FontFamily	Inter	User	Roblox	1	yes	Kit/Font	Platform
12187365977	FontFamily	Rubik	User	Roblox	1	yes	Kit/Font	Platform
124392921024385	Image	slash	User	hazatargz	8842050215	yes	Kit/Settings	Off
124920646932671	Image	Texture	Group	HD Admin	934508079	no	Kit/TopbarPlus	THIRD-PARTY — re-upload
126281074508689	Image	down to fun	User	hazatargz	8842050215	yes	Kit/Settings	
126866972878520	Image	Texture	User	hazatargz	8842050215	yes	Kit/Ranks	Owner/CoOwner
131545412033411	Image	icons8-gopro-96	Group	LVL Comunity	9769481274	maybe	Kit/Topbar	Camera — treat third-party if not your group
131546047206193	Image	logo hazastudio	User	hazatargz	8842050215	yes	Plugin	Plugin logo
132401905689089	Audio	Hover	User	hazatargz	8842050215	yes	Kit/SFX	UI hover
132600999999748	Image	cincin	User	hazatargz	8842050215	yes	Kit/Settings	Taken
134937924523939	Image	generic settingsv2	User	hazatargz	8842050215	yes	Kit/Topbar	Settings
135193838429269	Image	icons8-menu-96	User	hazatargz	8842050215	yes	Kit/Topbar	Menu
135697536961722	Image	Texture	User	hazatargz	8842050215	yes	Kit/MusicUI	
137095705806436	Image	enter	User	hazatargz	8842050215	yes	Kit/Settings	On
180435571	Animation	Idle1LoopAnimation	User	Roblox	1	yes	Kit/Idle	R6
507766388	Animation	R15Idle	User	Roblox	1	yes	Kit/Idle	R15
